Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J4","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",21.7000,6.5000,90.0000,top
"J6","SM04B-GHS-TB","JST_GH_SM04B-GHS-TB_1x04-1MP_P1.25mm_Horizontal",21.7000,16.5000,90.0000,top
"M1","HOLE","dira_3mm",12.5000,0.0000,0.0000,top
"M2","HOLE","dira_3mm",12.5000,23.0000,0.0000,top
"M3","HOLE","dira_3mm",2.5000,0.0000,0.0000,top
"M4","HOLE","dira_3mm",2.5000,23.0000,0.0000,top
"M5","HOLE","dira_3mm",22.5000,23.0000,0.0000,top
"M6","HOLE","dira_3mm",22.5000,0.0000,0.0000,top
